sampleCount, trigNum, sensorReadTime, ax, ay, az, gx, gy, gz, mx, my, mz 
0,0000,20301,-0.31,0.52,-9.95,2.64,2.51,-6.69,7.72,8.27,23.75
1,0000,20333,-0.19,0.55,-9.85,5.00,2.20,-6.54,8.59,8.27,23.72
2,0000,20354,-0.29,0.56,-9.87,2.16,2.14,-6.34,8.23,8.36,24.22
3,0000,20375,-0.34,0.54,-9.81,3.43,2.28,-5.73,8.40,8.39,23.72
4,0000,20396,-0.28,0.58,-9.80,1.43,2.20,-5.47,8.04,8.97,23.43
5,0000,20417,-0.20,0.58,-9.78,2.63,2.31,-5.20,8.10,8.78,23.37
6,0000,20438,-0.32,0.54,-9.92,1.67,2.45,-4.63,8.45,8.35,23.06
7,0000,20459,-0.33,0.49,-9.88,1.91,2.63,-4.37,8.80,8.10,23.15
8,0000,20480,-0.31,0.52,-9.93,2.54,2.29,-4.17,9.03,8.62,23.12
9,0000,20501,-0.30,0.57,-9.86,1.15,1.77,-3.68,8.65,8.99,23.36
10,0000,20522,-0.38,0.52,-9.86,1.76,1.85,-3.38,8.13,8.59,23.02
11,0000,20543,-0.34,0.50,-9.83,1.22,1.75,-2.93,8.13,8.73,23.30
12,0000,20564,-0.28,0.55,-9.80,1.85,1.98,-2.78,8.18,8.54,23.11
13,0000,20585,-0.22,0.60,-9.84,0.24,1.78,-2.25,8.23,8.74,23.27
14,0000,20606,-0.29,0.59,-9.85,1.17,1.71,-1.85,8.35,8.81,23.79
15,0000,20627,-0.30,0.56,-9.81,1.06,1.77,-1.36,7.86,8.77,24.00
16,0000,20648,-0.29,0.51,-9.80,0.66,1.82,-1.14,8.29,9.16,22.76
17,0000,20669,-0.31,0.54,-9.87,0.50,1.43,-0.80,7.88,8.92,22.93
18,0000,20690,-0.36,0.55,-9.88,0.45,1.39,-0.57,7.75,8.51,22.84
19,0000,20711,-0.34,0.54,-9.84,0.84,1.08,-0.03,7.82,8.07,22.54
20,0000,20732,-0.24,0.50,-9.81,0.09,1.30,0.09,8.45,8.30,23.71
21,0000,20753,-0.28,0.54,-9.83,0.29,1.30,0.16,7.70,8.59,22.77
22,0000,20774,-0.23,0.55,-9.66,-0.10,1.34,-0.08,7.57,8.29,23.55
23,0000,20795,-0.28,0.51,-9.86,-0.20,1.40,-0.23,7.92,8.16,22.90
24,0000,20816,-0.28,0.56,-9.82,0.17,1.52,-0.06,8.29,8.45,22.19
25,0000,20837,-0.37,0.54,-9.90,-0.45,1.38,0.08,8.33,8.78,24.33
26,0000,20858,-0.31,0.52,-9.83,0.95,1.26,0.00,8.37,8.14,23.33
27,0000,20879,-0.32,0.57,-9.79,-0.65,1.29,-0.18,8.43,7.99,22.83
28,0000,20900,-0.31,0.55,-9.83,0.66,1.20,-0.14,8.26,8.39,23.15
29,0000,20921,-0.31,0.57,-9.83,-0.09,1.25,-0.07,7.83,8.58,23.02
30,0000,20942,-0.28,0.54,-9.80,1.31,1.40,-0.12,8.35,8.05,22.48
31,0000,20963,-0.21,0.59,-9.86,-1.26,1.64,-0.15,8.49,8.07,22.83
32,0000,20984,-0.25,0.55,-9.83,0.87,1.57,-0.21,8.16,8.68,22.11
33,0000,21005,-0.32,0.52,-9.91,-0.35,1.45,-0.15,8.04,8.51,22.20
34,0000,21026,-0.31,0.53,-9.84,0.65,1.59,-0.26,7.95,8.05,23.27
35,0000,21047,-0.25,0.52,-9.81,0.11,1.55,-0.06,7.99,8.58,22.73
36,0000,21068,-0.31,0.55,-9.93,-0.65,1.40,-0.16,7.89,8.77,23.27
37,0000,21089,-0.25,0.54,-9.84,0.71,1.28,-0.04,8.11,8.58,22.57
38,0000,21110,-0.30,0.56,-9.83,-0.01,1.43,-0.20,8.18,8.23,22.90
39,0000,21131,-0.27,0.54,-9.81,0.61,1.58,-0.13,8.14,8.37,22.23
40,0000,21152,-0.33,0.56,-9.89,-0.37,1.43,-0.18,7.80,7.95,22.45
41,0000,21173,-0.26,0.57,-9.80,-0.21,1.38,0.14,7.99,7.95,22.87
42,0000,21194,-0.28,0.55,-9.82,0.31,1.57,-0.03,7.91,7.91,23.22
43,0000,21215,-0.29,0.54,-9.81,-0.24,1.49,0.00,8.46,7.92,23.53
44,0000,21236,-0.33,0.54,-9.88,0.29,1.57,-0.27,8.32,8.20,23.60
45,0000,21257,-0.27,0.54,-9.83,-0.03,1.49,-0.21,8.61,8.37,23.08
46,0000,21278,-0.26,0.51,-9.83,0.45,1.62,-0.03,8.40,8.23,23.17
47,0000,21299,-0.31,0.53,-9.88,-0.03,1.42,-0.03,7.91,8.62,22.62
48,0000,21320,-0.31,0.52,-9.84,0.52,1.43,-0.07,8.29,8.42,23.17
49,0000,21341,-0.29,0.57,-9.80,0.40,1.48,0.13,8.20,8.08,24.17
50,0000,21362,-0.31,0.54,-9.83,0.00,1.47,-0.06,7.94,7.95,23.37
51,0000,21383,-0.32,0.56,-9.88,0.00,1.32,0.04,7.22,8.73,23.46
52,0000,21404,-0.21,0.57,-9.81,-0.10,1.52,-0.02,8.13,8.70,23.85
53,0000,21425,-0.24,0.56,-9.86,0.44,1.37,0.21,7.67,8.27,23.28
54,0000,21446,-0.30,0.56,-9.84,0.21,1.51,-0.22,7.83,8.74,22.42
55,0000,21467,-0.31,0.53,-9.84,0.04,1.43,-0.07,7.69,8.52,22.92
56,0000,21488,-0.25,0.55,-9.80,0.17,1.47,-0.14,8.24,8.18,23.68
57,0000,21509,-0.30,0.53,-9.89,-0.20,1.28,-0.24,8.52,7.85,23.94
58,0000,21530,-0.18,0.51,-9.89,0.34,1.47,-0.24,8.16,8.14,23.21
59,0000,21551,-0.29,0.53,-9.83,0.06,1.39,-0.29,8.24,8.37,22.73
60,0000,21572,-0.26,0.53,-9.77,0.58,1.32,-0.13,8.05,8.54,22.87
61,0000,21593,-0.32,0.51,-9.85,0.32,1.28,-0.11,8.73,8.46,23.65
62,0000,21614,-0.23,0.53,-9.82,-0.43,1.49,-0.18,8.18,8.58,22.92
63,0000,21635,-0.26,0.55,-9.85,0.34,1.71,-0.17,7.97,7.91,23.18
64,0000,21656,-0.25,0.58,-9.82,0.18,1.54,-0.04,7.85,7.50,23.69
65,0000,21679,-0.32,0.56,-9.88,0.30,1.29,-0.10,7.85,7.92,23.55
66,0000,21700,-0.35,0.54,-9.84,-0.01,1.43,-0.17,7.99,8.42,23.22
67,0000,21721,-0.27,0.54,-9.81,0.45,1.50,-0.03,8.26,8.36,24.22
68,0000,21742,-0.27,0.56,-9.87,0.12,1.35,-0.06,8.08,8.49,23.56
69,0000,21763,-0.33,0.56,-9.85,0.39,1.43,0.03,8.39,8.20,23.74
70,0000,21784,-0.29,0.55,-9.77,0.14,1.50,-0.17,8.32,8.56,23.47
71,0000,21805,-0.26,0.56,-9.76,-0.08,1.46,-0.28,8.55,7.83,23.63
72,0000,21826,-0.35,0.56,-9.87,0.18,1.54,-0.02,8.40,7.82,23.47
73,0000,21847,-0.19,0.57,-9.82,0.35,1.52,0.09,8.56,7.95,23.56
74,0000,21868,-0.27,0.54,-9.83,-0.17,1.48,-0.18,8.59,8.52,23.74
75,0000,21889,-0.29,0.54,-9.92,0.52,1.36,-0.19,8.48,8.62,23.43
76,0000,21910,-0.31,0.51,-9.80,-0.72,1.47,-0.10,8.87,7.60,24.04
77,0000,21931,-0.25,0.53,-9.76,0.52,1.44,-0.03,8.42,7.91,23.43
78,0000,21952,-0.27,0.54,-9.86,-0.25,1.30,-0.38,8.51,8.48,23.22
79,0000,21973,-0.33,0.55,-9.73,0.58,1.43,0.00,8.29,7.72,23.11
80,0000,21994,-0.30,0.53,-9.92,-0.35,1.68,-0.14,8.23,8.05,24.13
81,0000,22015,-0.28,0.54,-9.78,-0.12,1.44,-0.08,8.07,8.58,23.11
82,0000,22036,-0.32,0.53,-9.85,0.43,1.50,-0.11,8.54,8.49,23.33
83,0000,22057,-0.32,0.56,-9.86,-0.17,1.43,-0.06,7.91,8.42,23.74
84,0000,22078,-0.31,0.52,-9.84,0.39,1.40,0.00,8.13,7.82,24.12
85,0000,22099,-0.26,0.55,-9.79,-0.02,1.45,-0.29,7.98,8.49,22.93
86,0000,22120,-0.29,0.54,-9.85,0.16,1.27,-0.17,7.22,8.17,23.24
87,0000,22141,-0.29,0.55,-9.80,0.11,1.69,-0.20,7.99,8.10,23.24
88,0000,22162,-0.25,0.56,-9.78,0.17,1.47,-0.35,7.67,8.20,22.41
89,0000,22183,-0.26,0.55,-9.80,0.05,1.67,-0.05,7.69,8.14,23.11
90,0000,22204,-0.37,0.53,-9.88,0.01,1.48,0.15,8.07,8.20,23.00
91,0000,22225,-0.30,0.52,-9.80,0.27,1.59,-0.24,8.30,8.45,22.74
92,0000,22246,-0.28,0.52,-9.82,0.17,1.42,-0.07,8.02,8.29,22.32
93,0000,22267,-0.34,0.52,-9.89,-0.04,1.36,-0.07,7.70,8.10,22.76
94,0000,22288,-0.36,0.50,-9.69,0.59,1.38,-0.10,7.60,8.65,22.14
95,0000,22309,-0.26,0.52,-9.69,-0.07,1.22,-0.08,8.13,8.04,22.90
96,0000,22330,-0.29,0.56,-9.84,-0.22,1.51,-0.05,8.13,8.16,23.09
97,0000,22351,-0.35,0.55,-9.77,0.38,1.47,-0.21,7.76,8.45,22.52
98,0000,22372,-0.27,0.56,-9.80,-0.24,1.47,0.02,7.83,8.49,23.19
99,0000,22393,-0.39,0.53,-9.77,0.35,1.61,-0.09,7.64,8.27,23.12
100,0000,22414,-0.31,0.54,-9.87,-0.24,1.80,-0.16,7.56,8.14,23.03
101,0000,22435,-0.33,0.57,-9.85,0.39,1.39,0.00,7.97,8.48,23.82
102,0000,22456,-0.27,0.56,-9.80,-0.02,1.37,-0.08,7.70,8.33,22.58
103,0000,22477,-0.34,0.53,-9.85,0.38,1.64,-0.17,8.39,8.56,23.24
104,0000,22498,-0.28,0.57,-9.81,0.28,1.50,-0.10,7.60,8.92,23.52
105,0000,22519,-0.27,0.51,-9.82,-0.10,1.44,-0.04,8.05,9.12,23.38
106,0000,22540,-0.25,0.50,-9.81,-0.04,1.70,-0.12,7.91,8.35,23.82
107,0000,22561,-0.32,0.49,-9.86,-0.10,1.73,-0.11,7.80,8.42,23.05
108,0000,22582,-0.28,0.56,-9.78,0.32,1.64,-0.21,7.99,8.64,23.55
109,0000,22603,-0.29,0.55,-9.85,-0.06,1.54,-0.20,8.11,8.45,23.33
110,0000,22624,-0.30,0.57,-9.78,-0.35,1.71,-0.19,8.07,8.58,23.97
111,0000,22645,-0.33,0.58,-9.80,0.10,1.65,-0.24,8.26,8.54,23.06
112,0000,22666,-0.25,0.56,-9.78,-0.80,1.71,-0.12,7.94,8.87,23.44
113,0000,22687,-0.31,0.52,-9.91,0.05,1.63,-0.19,7.57,7.83,23.88
114,0000,22708,-0.32,0.53,-9.90,0.07,1.43,-0.26,7.51,8.04,23.72
115,0000,22729,-0.38,0.57,-9.93,0.52,1.21,-0.15,7.95,8.45,23.60
116,0000,22750,-0.33,0.51,-9.88,0.47,1.05,-0.06,7.89,8.30,23.11
117,0000,22771,-0.39,0.50,-9.79,0.31,1.06,-0.20,7.86,8.42,23.46
118,0000,22792,-0.27,0.55,-9.85,0.71,1.00,-0.16,7.54,8.51,22.77
119,0000,22813,-0.20,0.54,-9.65,-0.39,1.05,0.04,8.11,8.36,22.87
120,0000,22834,-0.15,0.56,-9.74,0.92,1.29,-0.16,8.29,8.93,23.66
121,0000,22855,-0.24,0.53,-9.85,-0.91,1.54,-0.17,8.62,8.67,22.99
122,0000,22876,-0.28,0.61,-9.78,0.28,1.48,-0.10,7.64,8.62,23.37
123,0000,22897,-0.25,0.54,-9.76,-0.40,1.75,-0.22,8.27,8.83,22.84
124,0000,22918,-0.41,0.50,-9.99,0.10,1.60,-0.14,8.30,8.61,22.71
125,0000,22939,-0.46,0.51,-10.06,-0.73,1.33,-0.32,8.18,8.83,23.50
126,0000,22960,-0.47,0.50,-9.82,3.74,-0.02,0.12,8.01,8.33,23.82
127,0000,22981,-0.33,0.47,-9.34,0.32,1.27,-0.18,8.13,8.89,23.36
128,0000,23004,-0.11,0.65,-10.07,-1.12,1.53,-0.16,7.91,8.46,22.93
129,0000,23025,-0.02,0.60,-9.61,3.04,1.71,-0.04,8.21,8.39,23.34
130,0000,23046,-0.16,0.54,-9.66,-4.19,1.58,-0.15,7.69,8.52,23.12
131,0000,23067,-0.29,0.52,-9.74,4.31,1.86,-0.22,7.92,9.02,23.25
132,0000,23088,-0.40,0.54,-10.02,-2.23,1.80,-0.15,7.97,8.86,23.66
133,0000,23109,-0.50,0.53,-9.81,1.07,1.78,-0.25,7.91,8.42,23.31
134,0000,23130,-0.44,0.47,-10.04,-1.76,1.20,-0.02,7.80,8.65,23.11
135,0000,23151,-0.32,0.54,-9.88,2.49,0.87,-0.03,7.78,8.94,23.05
136,0000,23172,-0.24,0.55,-9.77,1.17,0.64,-0.01,7.54,8.68,23.44
137,0000,23193,-0.16,0.57,-9.63,0.00,0.94,-0.36,8.27,9.16,23.60
138,0000,23214,-0.17,0.55,-9.75,-0.30,1.41,-0.05,7.69,8.83,23.38
139,0000,23235,-0.26,0.54,-9.77,0.35,1.81,-0.10,7.41,8.64,23.06
140,0000,23256,-0.17,0.55,-9.76,0.24,1.64,-0.11,7.91,8.37,23.33
141,0000,23277,-0.28,0.53,-9.85,-0.94,1.87,-0.12,8.14,8.52,23.56
142,0000,23298,-0.37,0.53,-9.98,0.48,1.44,-0.12,8.14,8.58,23.43
143,0000,23319,-0.49,0.51,-9.82,0.39,1.23,0.02,7.78,8.81,23.91
144,0000,23340,-0.29,0.58,-9.81,-0.03,1.07,-0.15,8.45,8.11,23.82
145,0000,23361,-0.18,0.60,-9.84,0.56,1.24,0.07,8.18,8.42,24.09
146,0000,23382,-0.17,0.54,-9.75,0.75,1.22,-0.16,7.92,9.05,24.61
147,0000,23403,-0.21,0.49,-9.66,-0.24,1.44,-0.39,7.78,9.00,23.93
148,0000,23424,-0.25,0.53,-9.79,0.15,1.70,-0.14,7.54,8.10,24.16
149,0000,23445,-0.33,0.58,-9.85,0.31,1.78,-0.06,8.35,8.74,24.07
150,0000,23466,-0.32,0.53,-9.81,-0.45,1.60,-0.11,8.58,8.93,23.74
151,0000,23487,-0.37,0.51,-9.83,0.04,1.58,-0.15,8.14,8.86,24.14
152,0000,23508,-0.30,0.54,-9.88,0.38,1.41,0.21,8.17,9.08,24.00
153,0000,23529,-0.34,0.58,-9.82,0.21,1.38,-0.17,8.24,8.59,23.38
154,0000,23550,-0.29,0.57,-9.77,0.47,1.29,-0.29,7.75,8.78,23.93
155,0000,23571,-0.21,0.59,-9.81,0.59,1.50,-0.19,7.89,8.29,24.13
156,0000,23592,-0.25,0.58,-9.77,0.24,1.51,-0.17,7.54,8.37,23.93
157,0000,23613,-0.32,0.52,-9.77,-0.46,1.71,-0.23,7.82,8.30,23.90
158,0000,23634,-0.25,0.50,-9.81,0.22,1.78,-0.10,7.78,8.24,23.65
159,0000,23655,-0.29,0.53,-9.83,0.50,1.44,-0.07,8.26,8.62,23.44
160,0000,23676,-0.32,0.53,-9.86,-0.07,1.54,-0.07,7.89,8.43,23.24
161,0000,23697,-0.35,0.54,-9.87,-0.08,1.12,-0.30,8.45,9.02,23.38
162,0000,23718,-0.30,0.53,-9.81,0.40,1.32,-0.24,7.88,9.09,23.28
163,0000,23739,-0.30,0.55,-9.84,0.17,1.23,-0.10,8.05,8.62,23.94
164,0000,23760,-0.24,0.58,-9.81,0.34,1.33,-0.14,8.05,8.70,23.82
165,0000,23781,-0.22,0.57,-9.77,0.24,1.48,-0.33,8.10,8.90,23.33
166,0000,23802,-0.27,0.54,-9.93,0.06,1.51,-0.26,7.75,9.08,23.43
167,0000,23823,-0.32,0.50,-9.86,-0.24,1.52,-0.24,8.21,8.37,24.35
168,0000,23844,-0.29,0.53,-9.78,0.59,1.65,0.02,8.56,8.39,23.15
169,0000,23865,-0.29,0.57,-9.78,0.18,1.43,0.07,8.45,9.06,23.82
170,0000,23886,-0.36,0.56,-9.88,-0.03,1.57,-0.24,8.11,9.03,23.63
171,0000,23907,-0.20,0.55,-9.79,0.50,1.51,-0.09,8.17,8.05,23.68
172,0000,23928,-0.23,0.54,-9.79,0.10,1.29,-0.01,7.88,8.33,23.52
173,0000,23949,-0.22,0.55,-9.78,0.18,1.39,-0.04,7.99,8.62,22.80
174,0000,23970,-0.30,0.54,-9.83,0.19,1.52,-0.12,8.04,8.11,23.93
175,0000,23991,-0.30,0.53,-9.79,0.24,1.42,-0.07,7.92,8.51,23.31
176,0000,24012,-0.30,0.52,-9.85,0.38,1.48,-0.12,8.02,8.54,23.91
177,0000,24033,-0.30,0.51,-9.83,0.17,1.48,-0.01,7.97,8.35,23.47
178,0000,24054,-0.33,0.52,-9.84,0.12,1.46,-0.21,7.38,8.51,23.24
179,0000,24075,-0.26,0.54,-9.78,0.06,1.34,-0.03,7.42,8.45,23.55
180,0000,24096,-0.32,0.56,-9.84,0.37,1.43,-0.14,7.66,8.54,23.57
181,0000,24117,-0.24,0.58,-9.82,0.29,1.40,-0.07,7.54,8.67,23.72
182,0000,24138,-0.27,0.56,-9.77,0.12,1.32,-0.12,7.70,8.75,22.73
183,0000,24159,-0.26,0.56,-9.78,0.00,1.44,-0.08,7.63,8.51,23.40
184,0000,24180,-0.32,0.51,-9.87,0.15,1.44,-0.13,7.48,8.68,23.28
185,0000,24201,-0.28,0.57,-9.79,0.05,1.42,0.02,8.36,8.29,22.95
186,0000,24222,-0.29,0.55,-9.77,0.35,1.36,-0.16,7.67,8.81,24.28
187,0000,24243,-0.28,0.53,-9.81,0.11,1.64,-0.16,7.32,8.80,22.83
188,0000,24264,-0.33,0.51,-9.85,0.45,1.34,-0.10,7.40,8.87,23.19
189,0000,24285,-0.22,0.55,-9.78,0.29,1.43,-0.09,7.45,8.61,23.91
190,0000,24306,-0.26,0.54,-9.82,0.11,1.51,-0.19,8.02,8.46,23.72
191,0000,24329,-0.31,0.53,-9.82,0.24,1.44,0.09,8.67,8.35,22.99
192,0000,24350,-0.32,0.52,-9.85,-0.01,1.38,-0.11,8.39,8.49,23.33
193,0000,24371,-0.31,0.55,-9.84,0.24,1.41,-2.20,8.11,8.84,22.99
194,0000,24392,-0.27,0.55,-9.82,0.16,1.42,-0.23,8.21,9.06,23.49
195,0000,24413,-0.35,0.54,-9.84,0.07,1.55,0.01,8.65,8.77,23.66
196,0000,24434,-0.24,0.58,-9.76,0.34,1.47,-0.03,7.60,8.62,23.81
197,0000,24455,-0.24,0.58,-9.76,0.16,1.56,-0.02,7.23,8.64,24.07
198,0000,24476,-0.25,0.57,-9.77,-0.10,1.40,-0.24,7.44,8.48,23.84
199,0000,24497,-0.32,0.54,-9.83,0.27,1.43,-0.22,7.44,8.92,23.94
200,0000,24518,-0.27,0.57,-9.78,0.02,1.47,-0.05,7.61,8.68,23.60
201,0000,24539,-0.33,0.54,-9.83,0.17,1.40,-0.19,7.72,8.75,24.42
202,0000,24560,-0.28,0.52,-9.83,0.01,1.42,-0.18,7.42,9.02,24.25
203,0000,24581,-0.31,0.51,-9.81,0.52,1.56,-0.20,7.44,8.83,24.17
204,0000,24602,-0.23,0.54,-9.79,0.17,1.47,-0.38,7.64,8.64,23.90
205,0000,24623,-0.31,0.54,-9.82,0.14,1.49,-0.12,7.72,8.42,24.45
206,0000,24644,-0.27,0.54,-9.80,0.15,1.43,-0.10,8.10,8.65,23.78
207,0000,24665,-0.29,0.53,-9.69,0.01,1.51,0.07,7.97,8.61,23.27
208,0000,24686,-0.27,0.54,-9.77,0.31,1.43,0.10,7.89,8.42,23.65
209,0000,24707,-0.33,0.52,-9.82,-0.14,1.43,-0.10,8.30,7.97,23.71
210,0000,24728,-0.28,0.55,-9.84,0.16,1.47,-0.22,7.85,8.51,24.19
211,0000,24749,-0.30,0.55,-9.82,0.17,1.48,-0.12,7.97,8.80,23.76
212,0000,24770,-0.26,0.56,-9.83,0.32,1.32,-0.10,8.39,8.86,23.09
213,0000,24791,-0.31,0.58,-9.85,-0.01,1.42,-0.20,8.08,8.55,24.04
214,0000,24812,-0.25,0.56,-9.79,0.16,1.35,-0.16,7.95,8.49,23.57
215,0000,24833,-0.28,0.56,-9.82,0.21,1.49,-0.07,7.88,8.94,23.49
216,0000,24854,-0.34,0.55,-9.81,-0.01,1.36,-0.02,7.89,8.46,24.04
217,0000,24875,-0.19,0.57,-9.82,-0.01,1.49,-0.22,7.97,7.95,24.20
218,0000,24896,-0.25,0.56,-9.78,0.19,1.62,-0.15,7.94,8.80,24.50
219,0000,24917,-0.32,0.54,-9.79,0.38,1.37,-0.05,7.34,8.87,23.34
220,0000,24938,-0.27,0.52,-9.82,0.35,1.36,-0.26,7.53,8.73,24.26
221,0000,24959,-0.25,0.54,-9.77,0.38,1.48,-0.07,7.66,8.52,24.03
222,0000,24980,-0.32,0.53,-9.86,0.13,1.40,-0.11,7.91,8.68,23.44
223,0000,25001,-0.32,0.49,-9.83,-0.03,1.35,-0.28,8.43,9.19,23.05
224,0000,25022,-0.27,0.52,-9.81,0.05,1.59,-0.17,8.11,8.33,24.00
225,0000,25043,-0.25,0.51,-9.81,0.02,1.39,-0.11,7.88,8.65,24.36
226,0000,25064,-0.34,0.54,-9.88,-0.09,1.36,-0.14,8.01,8.42,23.60
227,0000,25085,-0.27,0.58,-9.80,0.34,1.30,0.03,7.69,8.87,23.68
228,0000,25106,-0.27,0.57,-9.80,0.07,1.39,-0.06,7.91,8.49,24.01
229,0000,25127,-0.29,0.57,-9.82,0.27,1.43,-0.14,8.05,7.99,24.58
230,0000,25148,-0.30,0.55,-9.83,0.00,1.31,-0.31,7.80,8.18,24.67
231,0000,25169,-0.24,0.54,-9.76,0.10,1.46,-0.20,7.89,8.86,23.84
232,0000,25190,-0.31,0.55,-9.85,0.21,1.44,-0.36,7.78,8.49,24.31
233,0000,25211,-0.30,0.55,-9.79,0.02,1.34,-0.10,8.11,8.51,24.13
234,0000,25232,-0.30,0.53,-9.81,0.28,1.32,-0.26,7.67,8.83,24.25
235,0000,25253,-0.24,0.55,-9.76,0.12,1.43,-0.10,7.29,8.64,24.44
236,0000,25274,-0.34,0.54,-9.85,0.04,1.37,-0.24,7.56,8.62,23.91
237,0000,25295,-0.30,0.53,-9.82,0.10,1.35,0.10,7.69,8.11,23.34
238,0000,25316,-0.31,0.56,-9.65,0.02,1.43,-0.09,8.08,8.04,24.17
239,0000,25337,-0.23,0.53,-9.80,0.18,1.25,-0.31,7.88,8.87,24.44
240,0000,25358,-0.32,0.52,-9.85,0.17,1.50,-0.23,8.07,8.20,24.32
